strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
F*,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0
n,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1
s,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
